AF_Learning_1_Airflow_Ranges 000CB5AC
AF_Learning_1_Airflow_Ranges_____ 000C8B80
AF_Learning_1_Airflow_Ranges__________ 000CCCD0
AF_Learning_1_Limits 000CB59C
AF_Learning_1_Limits_____ 000C8B70
AF_Learning_1_Limits__________ 000CCCC0
Advance_Multiplier_Initial 000D2304
Advance_Multiplier_Initial_____ 000CF458
Advance_Multiplier_Initial__________ 000D3B1C
Advance_Multiplier_Step_Value 000D2308
Advance_Multiplier_Step_Value_____ 000CF45C
Advance_Multiplier_Step_Value__________ 000D3B20
Base_Timing_Idle_A_InGear 000D25CA
Base_Timing_Idle_A_InGear_____ 000CFA46
Base_Timing_Idle_A_InGear__________ 000D3DEA
Base_Timing_Idle_A_Neutral 000D25EA
Base_Timing_Idle_A_Neutral_____ 000CFA66
Base_Timing_Idle_A_Neutral__________ 000D3E0A
Base_Timing_Idle_B_InGear 000D25DA
Base_Timing_Idle_B_InGear_____ 000CFA56
Base_Timing_Idle_B_InGear__________ 000D3DFA
Base_Timing_Idle_B_Neutral 000D25FA
Base_Timing_Idle_B_Neutral_____ 000CFA76
Base_Timing_Idle_B_Neutral__________ 000D3E1A
Base_Timing_Idle_Minimum 000D25C1
Base_Timing_Idle_Minimum_Vehicle_Speed_Enable 000D1F5C
Base_Timing_Idle_Minimum_Vehicle_Speed_Enable_____ 000CF5EC
Base_Timing_Idle_Minimum_Vehicle_Speed_Enable__________ 000D3770
Base_Timing_Idle_Minimum_Y_AXIS____ 000CF870
Base_Timing_Idle_Minimum_Y_AXIS_________ 000D3C50
Base_Timing_Idle_Minimum_____ 000CFA3D
Base_Timing_Idle_Minimum__________ 000D3DE1
Base_Timing_Primary_Cruise 000D3A30
Base_Timing_Primary_Cruise_X_AXIS____ 000D152C
Base_Timing_Primary_Cruise_X_AXIS_________ 000D51AC
Base_Timing_Primary_Cruise_Y_AXIS____ 000D1570
Base_Timing_Primary_Cruise_Y_AXIS_________ 000D51F8
Base_Timing_Primary_Cruise_____ 000D15B8
Base_Timing_Primary_Cruise__________ 000D5240
Base_Timing_Primary_NonCruise 000D3BF0
Base_Timing_Primary_NonCruise_X_AXIS____ 000D16EC
Base_Timing_Primary_NonCruise_X_AXIS_________ 000D5398
Base_Timing_Primary_NonCruise_Y_AXIS____ 000D1730
Base_Timing_Primary_NonCruise_Y_AXIS_________ 000D53E4
Base_Timing_Primary_NonCruise_____ 000D1778
