AF_Learning_1_Airflow_Ranges___ 000CBFE4
AF_Learning_1_Limits___ 000CBFD4
Advance_Multiplier_Initial___ 000D2D5C
Advance_Multiplier_Step_Value___ 000D2D60
Base_Timing_Idle_A_InGear___ 000D3022
Base_Timing_Idle_A_Neutral___ 000D3042
Base_Timing_Idle_B_InGear___ 000D3032
Base_Timing_Idle_B_Neutral___ 000D3052
Base_Timing_Idle_Minimum_Vehicle_Speed_Enable___ 000D29B4
Base_Timing_Idle_Minimum_Y_AXIS___ 000D2E88
Base_Timing_Idle_Minimum___ 000D3019
Base_Timing_Primary_Cruise_X_AXIS___ 000D43FC
Base_Timing_Primary_Cruise_Y_AXIS___ 000D4440
Base_Timing_Primary_Cruise___ 000D4488
Base_Timing_Primary_NonCruise_X_AXIS___ 000D45BC
Base_Timing_Primary_NonCruise_Y_AXIS___ 000D4600
Base_Timing_Primary_NonCruise___ 000D4648
Base_Timing_Reference_Cruise_AVCS_related_X_AXIS___ 000D477C
Base_Timing_Reference_Cruise_AVCS_related_Y_AXIS___ 000D47C0
Base_Timing_Reference_Cruise_AVCS_related___ 000D4808
Base_Timing_Reference_NonCruise_AVCS_related_X_AXIS___ 000D493C
Base_Timing_Reference_NonCruise_AVCS_related_Y_AXIS___ 000D4980
Base_Timing_Reference_NonCruise_AVCS_related___ 000D49C8
Boost_Control_Disable_Delay_Fine_Correction___ 000C0BAD
Boost_Control_Disable_Fine_Correction___ 000C0BF8
Boost_Control_Disable_IAM___ 000C0BFC
Boost_Limit_Fuel_Cut_X_AXIS___ 000D2414
Boost_Limit_Fuel_Cut_Y_AXIS___ 000D242C
Boost_Limit_Fuel_Cut____ 000D2444
CL_Delay_Engine_Load_Counter_Threshold___ 000CBBDA
CL_Delay_Maximum_Engine_Load___ 000CC174
CL_Delay_Maximum_Engine_Speed_Neutral___ 000CC118
CL_Delay_Maximum_Engine_Speed_Per_Gear___ 000CC0F0
CL_Delay_Maximum_Throttle___ 000CC148
CL_Delay_Maximum_Vehicle_Speed___ 000CC164
CL_Delay_Minimum_ECT___ 000CC0EC
CL_Fueling_Target_Compensation_A_Load_X_AXIS___ 000D13E8
CL_Fueling_Target_Compensation_A_Load_Y_AXIS___ 000D1414
CL_Fueling_Target_Compensation_A_Load___ 000D143C
CL_Fueling_Target_Compensation_B_Load_X_AXIS___ 000D1648
CL_Fueling_Target_Compensation_B_Load_Y_AXIS___ 000D167C
CL_Fueling_Target_Compensation_B_Load___ 000D16AC
CL_Fueling_Target_Compensation_ECT_Disable___ 000CBF0C
CL_Fueling_Target_Compensation_Imm_Cruise_ECT_Y_AXIS___ 000D1310
CL_Fueling_Target_Compensation_Imm_Cruise_ECT___ 000D131C
CL_Fueling_Target_Compensation_Imm_NonCruise_ECT_Y_AXIS___ 000D137C
CL_Fueling_Target_Compensation_Imm_NonCruise_ECT___ 000D1388
CL_to_OL_DelaySwitch_SIDRIVE_Intelligent___ 000CBBDC
CL_to_OL_Delay____ 000CBBE2
CL_to_OL_Transition_Counter_Step_Value_MAF_Y_AXIS___ 000CE584
CL_to_OL_Transition_Counter_Step_Value_MAF___ 000CE5AC
CL_to_OL_Transition_with_Delay_BPW_Hysteresis___ 000CC0E4
